lon,lat,building_count,dist_to_nearest_building_m,pole_count,dist_to_nearest_pole_m,population,buildings_within_1000m,buildings_within_3000m,poles_within_5000m,poles_within_10000m,dist_to_nearest_road_m,roads_within_2000m,ntl_radiance,google_building_count,google_buildings_within_1000m,electrification_prob,score_pop,score_building,score_grid_dist,suitability_score,local_suitability_score,region_n_candidates,region_mean_electrification_prob,rank
38.65750000000238,3.582499999999824,0.0,10051.477503332531,0.0,45766.47244435603,86.08380126953125,0.0,0.0,0.0,0.0,2216.747168537656,0.0,0.0,0.0,7.0,0.11166057735681534,0.036009407253924236,0.0,0.1199688493655965,0.05039441771124864,0.60773331363723,293.0,0.08913744240999222,25
36.90750000000149,2.0824999999998552,0.0,64934.99999999999,0.0,101029.81948415031,88.58076477050781,0.0,0.0,0.0,0.0,1126.6039396802594,120.0,0.0,0.0,28.0,0.12988294661045074,0.03737001778201248,0.0,0.26661039404467063,0.09493112532620618,0.6888454482523381,324.0,0.08958780020475388,26
37.99750000000204,-2.4925000000000472,0.0,555.0,0.0,17427.353499599416,209.27528381347656,3.0,31.0,0.0,0.0,572.3827022207207,233.0,0.0,67.0,569.0,0.16215340793132782,0.10313719188294934,0.3333333333333333,0.044770867348498014,0.15468613695772912,0.5679699559384804,2126.0,0.09211494028568268,27
35.932500000000985,3.502499999999825,1.0,0.0,0.0,53937.89136590344,101.2747802734375,7.0,17.0,0.0,0.0,5795.58685184549,0.0,0.0,31.0,125.0,0.19430474936962128,0.04428706367805645,0.7777777777777778,0.14165174692901533,0.29354368288326055,0.7681501716727542,752.0,0.0930171087384224,28
34.957500000000486,2.3574999999998494,0.0,38295.0,0.0,82711.7600465617,243.69239807128903,0.0,0.0,0.0,0.0,2566.5729180223584,0.0,0.0,0.0,39.0,0.19747041165828705,0.12189128580033386,0.0,0.21800333936307842,0.11415751612905707,0.5938618153737253,704.0,0.09336898475885391,29
38.082500000002085,2.3574999999998494,0.0,90538.17592595954,0.0,115977.73795000488,108.26564025878906,0.0,0.0,0.0,0.0,5983.828594976793,0.0,0.0,0.0,26.0,0.09277461469173431,0.04809642560615036,0.0,0.3062747642101504,0.11112099950550526,0.6015935419052874,271.0,0.09404920786619186,30
35.43250000000073,1.3324999999998712,1.0,0.0,0.0,16879.666021577563,263.5479431152344,9.0,84.0,0.0,0.0,916.9901277411844,104.0,0.0,20.0,118.0,0.1271556317806244,0.13271069249857217,1.0,0.043317576115148027,0.3660795498339733,0.7115954542241252,8543.0,0.09454251825809479,31
39.90750000000302,-3.442500000000027,0.0,19833.00090757826,0.0,31282.50988971314,552.9254760742188,0.0,0.0,0.0,0.0,1458.3640292428202,19.0,0.0,107.0,253.0,0.14873987436294556,0.2903942620750635,0.0,0.081535588337138,0.1406183813311668,0.4989732238923426,4023.0,0.09559819102287292,32
40.01750000000308,1.7424999999998625,0.0,14269.00574672251,0.0,27064.43145532528,324.5036926269531,0.0,0.0,0.0,0.0,1219.1527104333832,56.0,0.0,74.0,530.0,0.1784711480140686,0.1659258494284663,0.0,0.07034289787720764,0.08747320913454881,0.4750456677556475,1326.0,0.0956968292593956,33
38.632500000002366,-3.6925000000000217,0.0,18870.0,0.0,46048.28009817522,210.54112243652344,0.0,0.0,0.0,0.0,2938.029264321265,0.0,0.0,5.0,42.0,0.14848537743091583,0.1038269550119277,0.0,0.12071662726671918,0.07774577018478684,0.5752321052900727,700.0,0.09759083390235901,34
36.30750000000118,0.4174999999998908,0.0,32969.989763419704,0.0,61527.4511905052,303.6785888671875,0.0,0.0,0.0,0.0,1201.346119896279,94.0,0.0,73.0,542.0,0.19181708991527557,0.15457812431635096,0.0,0.16179067871163846,0.11036845334003192,0.5513344062240197,5479.0,0.10008370131254196,35
34.057500000000026,-1.002500000000079,0.0,307256.54142751783,0.0,331308.96882668306,382.8685302734375,0.0,0.0,0.0,0.0,4154.776373062018,0.0,0.0,135.0,762.0,0.16324736177921295,0.19772920279783268,0.0,0.8776571723488517,0.34238883282378857,0.7151063836208175,4681.0,0.10064805299043655,36
40.16250000000315,-3.0425000000000355,1.0,0.0,0.0,5794.370112445356,309.86688232421875,7.0,56.0,0.0,4.0,2578.7271912163365,0.0,0.0,77.0,282.0,0.12376806139945984,0.15795016288449315,0.7777777777777778,0.013902692608920585,0.3006842062698068,0.5228601078111537,743.0,0.10076967626810074,37
39.83750000000298,-1.1825000000000752,0.0,10675.638154227596,0.0,12172.100270701028,79.19215393066406,0.0,0.0,0.0,0.0,810.3210546334541,172.0,0.0,141.0,850.0,0.17784810066223145,0.032254106897524656,0.0,0.030826028817266336,0.022149451404189766,0.6274265821204107,226.0,0.10113640129566193,38
38.98250000000255,-4.1925000000000106,0.0,5659.911660087991,0.0,67937.07824156115,41.40278625488281,0.0,0.0,0.0,0.0,194.64655395394863,58.0,0.0,8.0,61.0,0.12890662252902985,0.01166245167735162,0.0,0.1787986534712346,0.05830457671231103,0.7284209922705477,45.0,0.10114624351263046,39
41.05750000000361,4.032499999999814,0.0,13435.127464970326,0.0,44762.737014172846,147.23678588867188,0.0,0.0,0.0,0.0,1386.267132589347,55.0,0.0,0.0,0.0,0.15587082505226135,0.06933203878789725,0.0,0.1173054328008128,0.06292444535540274,0.754039515934026,89.0,0.10217446833848953,40
