rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
23,35.88250000000096,4.707499999999799,0.2419302463531494,0.5924319034896354,0.0679856017231941,288.03209161758423,64,9.6,2.327272727272727,17.999999999999996,AC three-phase mini-grid,320000
24,36.80250000000143,1.7824999999998616,0.2741998136043548,0.7736818335710993,0.0700054615736007,3639.966007232666,809,121.35,29.418181818181818,227.53124999999997,AC three-phase mini-grid,4045000
25,35.40750000000072,4.4824999999998045,0.1217381954193115,0.6048365660438277,0.0702604427933693,213.5934600830078,47,7.05,1.709090909090909,13.218749999999998,DC cluster,235000
26,38.73250000000242,0.407499999999891,0.3357537686824798,0.574811970065125,0.0717566534876823,1349.9099922180176,300,45.0,10.909090909090908,84.375,AC three-phase mini-grid,1500000
27,36.00750000000102,2.002499999999857,0.2769810259342193,0.7278829191425202,0.0731106027960777,340.88577938079834,76,11.4,2.7636363636363637,21.375,AC three-phase mini-grid,380000
28,40.98250000000357,3.5574999999998247,0.0675970166921615,0.4356512203487254,0.0732713788747787,539.4069690704346,120,18.0,4.363636363636363,33.75,AC three-phase mini-grid,600000
29,40.20750000000317,2.5324999999998457,0.2728053033351898,0.4489853269846531,0.0744614228606224,545.6143236160278,121,18.15,4.3999999999999995,34.03124999999999,AC three-phase mini-grid,605000
30,40.21750000000318,-2.992500000000037,0.2986269295215606,0.4382501820802622,0.0746244713664054,1753.957420349121,390,58.5,14.181818181818182,109.6875,AC three-phase mini-grid,1950000
31,39.62250000000287,-0.4325000000000911,0.3415454626083374,0.5373723829414193,0.0749351382255554,16402.72933959961,3645,546.75,132.54545454545453,1025.15625,AC three-phase mini-grid,18225000
32,38.24750000000217,-3.5175000000000254,0.3484421372413635,0.513854088919866,0.0754758939146995,924.2879705429077,205,30.75,7.454545454545454,57.65625,AC three-phase mini-grid,1025000
33,34.55750000000028,4.032499999999814,0.2763309478759765,0.5592409390585116,0.0754913240671157,307.11236095428467,68,10.2,2.4727272727272727,19.124999999999996,AC three-phase mini-grid,340000
34,36.05750000000105,3.082499999999834,0.2802747786045074,0.5958292367367584,0.0780765414237976,933.8874683380127,208,31.2,7.5636363636363635,58.49999999999999,AC three-phase mini-grid,1040000
35,39.332500000002725,-0.1325000000000974,0.2518236041069031,0.5199191743686955,0.0782319754362106,1782.9154167175293,396,59.4,14.4,111.37499999999999,AC three-phase mini-grid,1980000
36,37.99750000000204,3.73249999999982,0.078599102795124,0.8436383477812752,0.0797005966305732,104.31806135177612,23,3.4499999999999997,0.8363636363636363,6.468749999999999,DC cluster,115000
37,36.70750000000138,1.1324999999998755,0.3144181966781616,0.807119840300686,0.0805586576461792,1552.2822437286377,345,51.75,12.545454545454545,97.03125,AC three-phase mini-grid,1725000
38,34.81250000000041,3.737499999999821,0.225371703505516,0.5305602209888682,0.0807386115193367,5772.4599609375,1283,192.45,46.65454545454545,360.84374999999994,AC three-phase mini-grid,6415000
39,37.30750000000169,1.0074999999998782,0.2333978414535522,0.5968708328801576,0.0815395340323448,617.6185512542725,137,20.55,4.981818181818182,38.53125,AC three-phase mini-grid,685000
40,39.877500000003,3.5774999999998243,0.1770012825727462,0.5229756234607816,0.0817329213023185,887.2493019104004,197,29.549999999999997,7.163636363636363,55.40624999999999,AC three-phase mini-grid,985000
41,39.432500000002776,1.5074999999998675,0.2668443322181701,0.5675061171007685,0.0833410248160362,285.3626732826233,63,9.45,2.2909090909090906,17.718749999999996,AC three-phase mini-grid,315000
